ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
0042637859A1,0,4,2,6,3,7,8,5,9,10,1,53579
00345678219A,0,3,4,5,6,7,8,2,1,9,10,53584
00546317289A,0,5,4,6,3,1,7,2,8,9,10,53586
00253176849A,0,2,5,3,1,7,6,8,4,9,10,53589
00314526897A,0,3,1,4,5,2,6,8,9,7,10,53592
0052647198A3,0,5,2,6,4,7,1,9,8,10,3,53599
00456321897A,0,4,5,6,3,2,1,8,9,7,10,53600
0056431278A9,0,5,6,4,3,1,2,7,8,10,9,53602
00145327869A,0,1,4,5,3,2,7,8,6,9,10,53604
0035468719A2,0,3,5,4,6,8,7,1,9,10,2,53636
0014576398A2,0,1,4,5,7,6,3,9,8,10,2,53639
00453678291A,0,4,5,3,6,7,8,2,9,1,10,53650
00346758291A,0,3,4,6,7,5,8,2,9,1,10,53652
00352476918A,0,3,5,2,4,7,6,9,1,8,10,53655
0046372859A1,0,4,6,3,7,2,8,5,9,10,1,53657
00154638792A,0,1,5,4,6,3,8,7,9,2,10,53657
0045673298A1,0,4,5,6,7,3,2,9,8,10,1,53658
0042653789A1,0,4,2,6,5,3,7,8,9,10,1,53665
00452637918A,0,4,5,2,6,3,7,9,1,8,10,53675
00435278691A,0,4,3,5,2,7,8,6,9,1,10,53695
00245678931A,0,2,4,5,6,7,8,9,3,1,10,53740
00432578691A,0,4,3,2,5,7,8,6,9,1,10,53743
00456728319A,0,4,5,6,7,2,8,3,1,9,10,53746
0025367894A1,0,2,5,3,6,7,8,9,4,10,1,53747
0043652879A1,0,4,3,6,5,2,8,7,9,10,1,53748
00435276981A,0,4,3,5,2,7,6,9,8,1,10,53749
00456327981A,0,4,5,6,3,2,7,9,8,1,10,53751
0045236719A8,0,4,5,2,3,6,7,1,9,10,8,53752
00143658729A,0,1,4,3,6,5,8,7,2,9,10,53753
0045367829A1,0,4,5,3,6,7,8,2,9,10,1,53754
0032456789A1,0,3,2,4,5,6,7,8,9,10,1,53754
0043672859A1,0,4,3,6,7,2,8,5,9,10,1,53757
0032567498A1,0,3,2,5,6,7,4,9,8,10,1,53762
00435678219A,0,4,3,5,6,7,8,2,1,9,10,53769
00436578291A,0,4,3,6,5,7,8,2,9,1,10,53771
00356428971A,0,3,5,6,4,2,8,9,7,1,10,53772
00453276981A,0,4,5,3,2,7,6,9,8,1,10,53774
00354628791A,0,3,5,4,6,2,8,7,9,1,10,53778
0043561728A9,0,4,3,5,6,1,7,2,8,10,9,53782
0045237681A9,0,4,5,2,3,7,6,8,1,10,9,53785
0035624871A9,0,3,5,6,2,4,8,7,1,10,9,53802
00564371298A,0,5,6,4,3,7,1,2,9,8,10,53830
00346752189A,0,3,4,6,7,5,2,1,8,9,10,53832
0054673289A1,0,5,4,6,7,3,2,8,9,10,1,53836
00436752198A,0,4,3,6,7,5,2,1,9,8,10,53836
00546732198A,0,5,4,6,7,3,2,1,9,8,10,53837
0024637859A1,0,2,4,6,3,7,8,5,9,10,1,53838
00546728319A,0,5,4,6,7,2,8,3,1,9,10,53840
00341572896A,0,3,4,1,5,7,2,8,9,6,10,53843
00543162897A,0,5,4,3,1,6,2,8,9,7,10,53846
00431675892A,0,4,3,1,6,7,5,8,9,2,10,53848
00236458791A,0,2,3,6,4,5,8,7,9,1,10,53859
00526478931A,0,5,2,6,4,7,8,9,3,1,10,53860
00435628791A,0,4,3,5,6,2,8,7,9,1,10,53877
0045267831A9,0,4,5,2,6,7,8,3,1,10,9,53887
0035164879A2,0,3,5,1,6,4,8,7,9,10,2,53914
00523764891A,0,5,2,3,7,6,4,8,9,1,10,53920
00456278391A,0,4,5,6,2,7,8,3,9,1,10,53922
00432658971A,0,4,3,2,6,5,8,9,7,1,10,53924
00256734198A,0,2,5,6,7,3,4,1,9,8,10,53927
0045376829A1,0,4,5,3,7,6,8,2,9,10,1,53927
0023675489A1,0,2,3,6,7,5,4,8,9,10,1,53927
00524678391A,0,5,2,4,6,7,8,3,9,1,10,53929
0045637289A1,0,4,5,6,3,7,2,8,9,10,1,53930
00425617893A,0,4,2,5,6,1,7,8,9,3,10,53933
00354178269A,0,3,5,4,1,7,8,2,6,9,10,53935
00413625789A,0,4,1,3,6,2,5,7,8,9,10,53937
00456138729A,0,4,5,6,1,3,8,7,2,9,10,53949
00451627839A,0,4,5,1,6,2,7,8,3,9,10,53951
00425671983A,0,4,2,5,6,7,1,9,8,3,10,53954
00451273896A,0,4,5,1,2,7,3,8,9,6,10,53956
00541672839A,0,5,4,1,6,7,2,8,3,9,10,53959
00325748961A,0,3,2,5,7,4,8,9,6,1,10,53961
00546372918A,0,5,4,6,3,7,2,9,1,8,10,53963
0023647851A9,0,2,3,6,4,7,8,5,1,10,9,53983
0043561289A7,0,4,3,5,6,1,2,8,9,10,7,53994
00453678291A,0,4,5,3,6,7,8,2,9,1,10,54011
0042653798A1,0,4,2,6,5,3,7,9,8,10,1,54018
0035427689A1,0,3,5,4,2,7,6,8,9,10,1,54018
0025647893A1,0,2,5,6,4,7,8,9,3,10,1,54022
00346572198A,0,3,4,6,5,7,2,1,9,8,10,54040
00526347198A,0,5,2,6,3,4,7,1,9,8,10,54043
00245671983A,0,2,4,5,6,7,1,9,8,3,10,54048
0043567281A9,0,4,3,5,6,7,2,8,1,10,9,54052
00425678913A,0,4,2,5,6,7,8,9,1,3,10,54055
0025463781A9,0,2,5,4,6,3,7,8,1,10,9,54074
00532764198A,0,5,3,2,7,6,4,1,9,8,10,54100
00342675891A,0,3,4,2,6,7,5,8,9,1,10,54102
00435621798A,0,4,3,5,6,2,1,7,9,8,10,54105
0056274389A1,0,5,6,2,7,4,3,8,9,10,1,54107
00354271698A,0,3,5,4,2,7,1,6,9,8,10,54108
0054637892A1,0,5,4,6,3,7,8,9,2,10,1,54110
00215476893A,0,2,1,5,4,7,6,8,9,3,10,54127
00326457981A,0,3,2,6,4,5,7,9,8,1,10,54129
00356428791A,0,3,5,6,4,2,8,7,9,1,10,54132
00526438197A,0,5,2,6,4,3,8,1,9,7,10,54138
0045236187A9,0,4,5,2,3,6,1,8,7,10,9,54142
00456372918A,0,4,5,6,3,7,2,9,1,8,10,54143
0053642187A9,0,5,3,6,4,2,1,8,7,10,9,54146
00426738591A,0,4,2,6,7,3,8,5,9,1,10,54191
00435278961A,0,4,3,5,2,7,8,9,6,1,10,54193
00154637892A,0,1,5,4,6,3,7,8,9,2,10,54195
0043675289A1,0,4,3,6,7,5,2,8,9,10,1,54197
0053462879A1,0,5,3,4,6,2,8,7,9,10,1,54197
00546271839A,0,5,4,6,2,7,1,8,3,9,10,54198
0045672839A1,0,4,5,6,7,2,8,3,9,10,1,54203
003526749A81,0,3,5,2,6,7,4,9,10,8,1,54205
0042673859A1,0,4,2,6,7,3,8,5,9,10,1,54207
0035247869A1,0,3,5,2,4,7,8,6,9,10,1,54209
00415376982A,0,4,1,5,3,7,6,9,8,2,10,54214
00426758913A,0,4,2,6,7,5,8,9,1,3,10,54216
00534271869A,0,5,3,4,2,7,1,8,6,9,10,54222
00532647891A,0,5,3,2,6,4,7,8,9,1,10,54224
00456278139A,0,4,5,6,2,7,8,1,3,9,10,54230
0015426873A9,0,1,5,4,2,6,8,7,3,10,9,54232
00542687391A,0,5,4,2,6,8,7,3,9,1,10,54232
00235467891A,0,2,3,5,4,6,7,8,9,1,10,54234
0045367281A9,0,4,5,3,6,7,2,8,1,10,9,54235
0032615748A9,0,3,2,6,1,5,7,4,8,10,9,54238
0043567821A9,0,4,3,5,6,7,8,2,1,10,9,54242
00354276198A,0,3,5,4,2,7,6,1,9,8,10,54281
0035472869A1,0,3,5,4,7,2,8,6,9,10,1,54287
0045326879A1,0,4,5,3,2,6,8,7,9,10,1,54288
0054267389A1,0,5,4,2,6,7,3,8,9,10,1,54291
0035264789A1,0,3,5,2,6,4,7,8,9,10,1,54295
0054263897A1,0,5,4,2,6,3,8,9,7,10,1,54295
0053468297A1,0,5,3,4,6,8,2,9,7,10,1,54303
00416375892A,0,4,1,6,3,7,5,8,9,2,10,54303
00432678951A,0,4,3,2,6,7,8,9,5,1,10,54307
00346578192A,0,3,4,6,5,7,8,1,9,2,10,54318
004256387A19,0,4,2,5,6,3,8,7,10,1,9,54323
00425637891A,0,4,2,5,6,3,7,8,9,1,10,54324
0035416879A2,0,3,5,4,1,6,8,7,9,10,2,54363
0054376891A2,0,5,4,3,7,6,8,9,1,10,2,54366
00465278193A,0,4,6,5,2,7,8,1,9,3,10,54369
00436725891A,0,4,3,6,7,2,5,8,9,1,10,54373
004362758A91,0,4,3,6,2,7,5,8,10,9,1,54376
0032547896A1,0,3,2,5,4,7,8,9,6,10,1,54378
0035476298A1,0,3,5,4,7,6,2,9,8,10,1,54379
0043275869A1,0,4,3,2,7,5,8,6,9,10,1,54385
0034576129A8,0,3,4,5,7,6,1,2,9,10,8,54392
00215637894A,0,2,1,5,6,3,7,8,9,4,10,54398
00432658719A,0,4,3,2,6,5,8,7,1,9,10,54402
00426587931A,0,4,2,6,5,8,7,9,3,1,10,54404
00354762891A,0,3,5,4,7,6,2,8,9,1,10,54406
0042567813A9,0,4,2,5,6,7,8,1,3,10,9,54412
0045361782A9,0,4,5,3,6,1,7,8,2,10,9,54416
00243617598A,0,2,4,3,6,1,7,5,9,8,10,54417
0043267518A9,0,4,3,2,6,7,5,1,8,10,9,54436
0045237861A9,0,4,5,2,3,7,8,6,1,10,9,54438
00526417893A,0,5,2,6,4,1,7,8,9,3,10,54460
00346751829A,0,3,4,6,7,5,1,8,2,9,10,54463
00356428179A,0,3,5,6,4,2,8,1,7,9,10,54465
0053467289A1,0,5,3,4,6,7,2,8,9,10,1,54467
0052473689A1,0,5,2,4,7,3,6,8,9,10,1,54473
00253678419A,0,2,5,3,6,7,8,4,1,9,10,54486
00342651897A,0,3,4,2,6,5,1,8,9,7,10,54489
00452167398A,0,4,5,2,1,6,7,3,9,8,10,54495
00435627819A,0,4,3,5,6,2,7,8,1,9,10,54497
00456378192A,0,4,5,6,3,7,8,1,9,2,10,54498
0035461287A9,0,3,5,4,6,1,2,8,7,10,9,54501
00126458397A,0,1,2,6,4,5,8,3,9,7,10,54503
00452763891A,0,4,5,2,7,6,3,8,9,1,10,54504
0035216489A7,0,3,5,2,1,6,4,8,9,10,7,54528
00235617894A,0,2,3,5,6,1,7,8,9,4,10,54550
00541678932A,0,5,4,1,6,7,8,9,3,2,10,54553
00543786291A,0,5,4,3,7,8,6,2,9,1,10,54555
00256748391A,0,2,5,6,7,4,8,3,9,1,10,54557
00536472981A,0,5,3,6,4,7,2,9,8,1,10,54560
00346258971A,0,3,4,6,2,5,8,9,7,1,10,54562
00246378591A,0,2,4,6,3,7,8,5,9,1,10,54565
00325674189A,0,3,2,5,6,7,4,1,8,9,10,54573
00456721893A,0,4,5,6,7,2,1,8,9,3,10,54579
00356428179A,0,3,5,6,4,2,8,1,7,9,10,54581
00456217389A,0,4,5,6,2,1,7,3,8,9,10,54584
00425678193A,0,4,2,5,6,7,8,1,9,3,10,54587
0042568731A9,0,4,2,5,6,8,7,3,1,10,9,54592
00534126897A,0,5,3,4,1,2,6,8,9,7,10,54592
00435268971A,0,4,3,5,2,6,8,9,7,1,10,54595
0045261879A3,0,4,5,2,6,1,8,7,9,10,3,54598
0035467281A9,0,3,5,4,6,7,2,8,1,10,9,54600
0035641289A7,0,3,5,6,4,1,2,8,9,10,7,54621
00453672198A,0,4,5,3,6,7,2,1,9,8,10,54640
00543627891A,0,5,4,3,6,2,7,8,9,1,10,54642
0035426879A1,0,3,5,4,2,6,8,7,9,10,1,54647
004365287A91,0,4,3,6,5,2,8,7,10,9,1,54648
0013546729A8,0,1,3,5,4,6,7,2,9,10,8,54650
0054672839A1,0,5,4,6,7,2,8,3,9,10,1,54651
0052647398A1,0,5,2,6,4,7,3,9,8,10,1,54654
0043267591A8,0,4,3,2,6,7,5,9,1,10,8,54659
00451728369A,0,4,5,1,7,2,8,3,6,9,10,54663
00543726891A,0,5,4,3,7,2,6,8,9,1,10,54671
00536278419A,0,5,3,6,2,7,8,4,1,9,10,54673
00153267894A,0,1,5,3,2,6,7,8,9,4,10,54675
00256348791A,0,2,5,6,3,4,8,7,9,1,10,54677
00543672891A,0,5,4,3,6,7,2,8,9,1,10,54679
0054367821A9,0,5,4,3,6,7,8,2,1,10,9,54682
0056432187A9,0,5,6,4,3,2,1,8,7,10,9,54685
0042365871A9,0,4,2,3,6,5,8,7,1,10,9,54692
0035247681A9,0,3,5,2,4,7,6,8,1,10,9,54698
0014536789A2,0,1,4,5,3,6,7,8,9,10,2,54723
00453678129A,0,4,5,3,6,7,8,1,2,9,10,54731
00415276398A,0,4,1,5,2,7,6,3,9,8,10,54733
00451376298A,0,4,5,1,3,7,6,2,9,8,10,54761
00546287391A,0,5,4,6,2,8,7,3,9,1,10,54762
00534762891A,0,5,3,4,7,6,2,8,9,1,10,54767
00245618739A,0,2,4,5,6,1,8,7,3,9,10,54769
00435672891A,0,4,3,5,6,7,2,8,9,1,10,54773
00342716859A,0,3,4,2,7,1,6,8,5,9,10,54775
0024516783A9,0,2,4,5,1,6,7,8,3,10,9,54790
0054631782A9,0,5,4,6,3,1,7,8,2,10,9,54794
0043256718A9,0,4,3,2,5,6,7,1,8,10,9,54796
0045362189A7,0,4,5,3,6,2,1,8,9,10,7,54797
00415638792A,0,4,1,5,6,3,8,7,9,2,10,54820
00453628971A,0,4,5,3,6,2,8,9,7,1,10,54821
00536278491A,0,5,3,6,2,7,8,4,9,1,10,54825
0025367894A1,0,2,5,3,6,7,8,9,4,10,1,54827
0056247839A1,0,5,6,2,4,7,8,3,9,10,1,54827
00352674981A,0,3,5,2,6,7,4,9,8,1,10,54827
00435276891A,0,4,3,5,2,7,6,8,9,1,10,54830
0053476829A1,0,5,3,4,7,6,8,2,9,10,1,54832
0032654789A1,0,3,2,6,5,4,7,8,9,10,1,54833
00435627198A,0,4,3,5,6,2,7,1,9,8,10,54849
00456372198A,0,4,5,6,3,7,2,1,9,8,10,54851
00426715389A,0,4,2,6,7,1,5,3,8,9,10,54861
00345217698A,0,3,4,5,2,1,7,6,9,8,10,54863
0045376189A2,0,4,5,3,7,6,1,8,9,10,2,54910
00354628971A,0,3,5,4,6,2,8,9,7,1,10,54910
00254317869A,0,2,5,4,3,1,7,8,6,9,10,54913
00352647981A,0,3,5,2,6,4,7,9,8,1,10,54914
0045623789A1,0,4,5,6,2,3,7,8,9,10,1,54917
00256483791A,0,2,5,6,4,8,3,7,9,1,10,54918
00426358791A,0,4,2,6,3,5,8,7,9,1,10,54921
00346271598A,0,3,4,6,2,7,1,5,9,8,10,54938
00425638197A,0,4,2,5,6,3,8,1,9,7,10,54943
00246357819A,0,2,4,6,3,5,7,8,1,9,10,54945
00345267189A,0,3,4,5,2,6,7,1,8,9,10,54947
00146378592A,0,1,4,6,3,7,8,5,9,2,10,54949
00564278931A,0,5,6,4,2,7,8,9,3,1,10,54950
0042673851A9,0,4,2,6,7,3,8,5,1,10,9,54952
00356742981A,0,3,5,6,7,4,2,9,8,1,10,54955
0046257138A9,0,4,6,2,5,7,1,3,8,10,9,54970
0054217839A6,0,5,4,2,1,7,8,3,9,10,6,54973
0051367489A2,0,5,1,3,6,7,4,8,9,10,2,54995
00543678291A,0,5,4,3,6,7,8,2,9,1,10,55000
00423576891A,0,4,2,3,5,7,6,8,9,1,10,55002
0035627849A1,0,3,5,6,2,7,8,4,9,10,1,55006
0042675389A1,0,4,2,6,7,5,3,8,9,10,1,55007
0035427698A1,0,3,5,4,2,7,6,9,8,10,1,55011
0045267839A1,0,4,5,2,6,7,8,3,9,10,1,55014
00356481279A,0,3,5,6,4,8,1,2,7,9,10,55025
00513478629A,0,5,1,3,4,7,8,6,2,9,10,55028
0042657391A8,0,4,2,6,5,7,3,9,1,10,8,55029
00356274891A,0,3,5,6,2,7,4,8,9,1,10,55029
00436572189A,0,4,3,6,5,7,2,1,8,9,10,55032
00345176892A,0,3,4,5,1,7,6,8,9,2,10,55035
00356724981A,0,3,5,6,7,2,4,9,8,1,10,55038
00426758391A,0,4,2,6,7,5,8,3,9,1,10,55040
0042675813A9,0,4,2,6,7,5,8,1,3,10,9,55042
00256478319A,0,2,5,6,4,7,8,3,1,9,10,55043
0032457861A9,0,3,2,4,5,7,8,6,1,10,9,55045
0053427869A1,0,5,3,4,2,7,8,6,9,10,1,55096
0042657389A1,0,4,2,6,5,7,3,8,9,10,1,55097
0042563791A8,0,4,2,5,6,3,7,9,1,10,8,55099
0052648397A1,0,5,2,6,4,8,3,9,7,10,1,55099
0042673859A1,0,4,2,6,7,3,8,5,9,10,1,55100
0054637819A2,0,5,4,6,3,7,8,1,9,10,2,55102
0045362897A1,0,4,5,3,6,2,8,9,7,10,1,55106
00246518793A,0,2,4,6,5,1,8,7,9,3,10,55118
00352674819A,0,3,5,2,6,7,4,8,1,9,10,55120
00254163897A,0,2,5,4,1,6,3,8,9,7,10,55123
00245631879A,0,2,4,5,6,3,1,8,7,9,10,55126
00354672189A,0,3,5,4,6,7,2,1,8,9,10,55131
0042356871A9,0,4,2,3,5,6,8,7,1,10,9,55132
00452638791A,0,4,5,2,6,3,8,7,9,1,10,55136
0042356781A9,0,4,2,3,5,6,7,8,1,10,9,55146
00436725981A,0,4,3,6,7,2,5,9,8,1,10,55181
0035476298A1,0,3,5,4,7,6,2,9,8,10,1,55185
002563489A71,0,2,5,6,3,4,8,9,10,7,1,55186
0045312769A8,0,4,5,3,1,2,7,6,9,10,8,55191
0053462879A1,0,5,3,4,6,2,8,7,9,10,1,55194
0035642897A1,0,3,5,6,4,2,8,9,7,10,1,55195
0023564791A8,0,2,3,5,6,4,7,9,1,10,8,55196
0035647289A1,0,3,5,6,4,7,2,8,9,10,1,55200
00425617839A,0,4,2,5,6,1,7,8,3,9,10,55206
00246715893A,0,2,4,6,7,1,5,8,9,3,10,55207
00523476819A,0,5,2,3,4,7,6,8,1,9,10,55210
0053416287A9,0,5,3,4,1,6,2,8,7,10,9,55222
00425176893A,0,4,2,5,1,7,6,8,9,3,10,55224
0015264837A9,0,1,5,2,6,4,8,3,7,10,9,55242
0051364782A9,0,5,1,3,6,4,7,8,2,10,9,55246
0045362189A7,0,4,5,3,6,2,1,8,9,10,7,55251
00453786192A,0,4,5,3,7,8,6,1,9,2,10,55270
00514367892A,0,5,1,4,3,6,7,8,9,2,10,55272
00253176894A,0,2,5,3,1,7,6,8,9,4,10,55275
0043265789A1,0,4,3,2,6,5,7,8,9,10,1,55277
00356748291A,0,3,5,6,7,4,8,2,9,1,10,55277
004563287A91,0,4,5,6,3,2,8,7,10,9,1,55279
00435267198A,0,4,3,5,2,6,7,1,9,8,10,55279
00452763891A,0,4,5,2,7,6,3,8,9,1,10,55282
00536278491A,0,5,3,6,2,7,8,4,9,1,10,55300
00456312879A,0,4,5,6,3,1,2,8,7,9,10,55302
00356247981A,0,3,5,6,2,4,7,9,8,1,10,55303
00234657981A,0,2,3,4,6,5,7,9,8,1,10,55307
00436572189A,0,4,3,6,5,7,2,1,8,9,10,55317
0034651289A7,0,3,4,6,5,1,2,8,9,10,7,55340
00245368791A,0,2,4,5,3,6,8,7,9,1,10,55361
00536472981A,0,5,3,6,4,7,2,9,8,1,10,55363
00325768491A,0,3,2,5,7,6,8,4,9,1,10,55365
0035672498A1,0,3,5,6,7,2,4,9,8,10,1,55367
0023657849A1,0,2,3,6,5,7,8,4,9,10,1,55369
00531264798A,0,5,3,1,2,6,4,7,9,8,10,55369
00346587921A,0,3,4,6,5,8,7,9,2,1,10,55370
0042573689A1,0,4,2,5,7,3,6,8,9,10,1,55373
00352174698A,0,3,5,2,1,7,4,6,9,8,10,55373
00125674893A,0,1,2,5,6,7,4,8,9,3,10,55384
00246357891A,0,2,4,6,3,5,7,8,9,1,10,55391
00436785219A,0,4,3,6,7,8,5,2,1,9,10,55393
00351674829A,0,3,5,1,6,7,4,8,2,9,10,55396
00251643897A,0,2,5,1,6,4,3,8,9,7,10,55397
0053674281A9,0,5,3,6,7,4,2,8,1,10,9,55402
00324658719A,0,3,2,4,6,5,8,7,1,9,10,55405
0052136784A9,0,5,2,1,3,6,7,8,4,10,9,55406
0041367829A5,0,4,1,3,6,7,8,2,9,10,5,55416
0032516789A4,0,3,2,5,1,6,7,8,9,10,4,55444
00426735891A,0,4,2,6,7,3,5,8,9,1,10,55450
00456237981A,0,4,5,6,2,3,7,9,8,1,10,55452
00536427891A,0,5,3,6,4,2,7,8,9,1,10,55454
0042637598A1,0,4,2,6,3,7,5,9,8,10,1,55457
0052643789A1,0,5,2,6,4,3,7,8,9,10,1,55458
0054368297A1,0,5,4,3,6,8,2,9,7,10,1,55465
00354672819A,0,3,5,4,6,7,2,8,1,9,10,55474
00243657198A,0,2,4,3,6,5,7,1,9,8,10,55479
00526748391A,0,5,2,6,7,4,8,3,9,1,10,55487
0043615289A7,0,4,3,6,1,5,2,8,9,10,7,55516
00245736198A,0,2,4,5,7,3,6,1,9,8,10,55540
00436728951A,0,4,3,6,7,2,8,9,5,1,10,55542
00245763981A,0,2,4,5,7,6,3,9,8,1,10,55546
0042357689A1,0,4,2,3,5,7,6,8,9,10,1,55547
00235174698A,0,2,3,5,1,7,4,6,9,8,10,55548
0045273691A8,0,4,5,2,7,3,6,9,1,10,8,55549
0043657892A1,0,4,3,6,5,7,8,9,2,10,1,55549
00254768913A,0,2,5,4,7,6,8,9,1,3,10,55550
0053267849A1,0,5,3,2,6,7,8,4,9,10,1,55555
00546278391A,0,5,4,6,2,7,8,3,9,1,10,55571
00453268791A,0,4,5,3,2,6,8,7,9,1,10,55575
00235617489A,0,2,3,5,6,1,7,4,8,9,10,55577
00236578914A,0,2,3,6,5,7,8,9,1,4,10,55579
00425738916A,0,4,2,5,7,3,8,9,1,6,10,55581
0031465278A9,0,3,1,4,6,5,2,7,8,10,9,55582
00456738921A,0,4,5,6,7,3,8,9,2,1,10,55583
0023547186A9,0,2,3,5,4,7,1,8,6,10,9,55584
0024651789A3,0,2,4,6,5,1,7,8,9,10,3,55586
00453267198A,0,4,5,3,2,6,7,1,9,8,10,55630
0023567489A1,0,2,3,5,6,7,4,8,9,10,1,55637
0043657829A1,0,4,3,6,5,7,8,2,9,10,1,55637
0045637892A1,0,4,5,6,3,7,8,9,2,10,1,55640
00542768931A,0,5,4,2,7,6,8,9,3,1,10,55658
00546327981A,0,5,4,6,3,2,7,9,8,1,10,55663
00526473819A,0,5,2,6,4,7,3,8,1,9,10,55665
00452678931A,0,4,5,2,6,7,8,9,3,1,10,55669
00325671894A,0,3,2,5,6,7,1,8,9,4,10,55671
0053647281A9,0,5,3,6,4,7,2,8,1,10,9,55672
0041567289A3,0,4,1,5,6,7,2,8,9,10,3,55673
0043675128A9,0,4,3,6,7,5,1,2,8,10,9,55675
00324678591A,0,3,2,4,6,7,8,5,9,1,10,55676
00452168739A,0,4,5,2,1,6,8,7,3,9,10,55678
0054167823A9,0,5,4,1,6,7,8,2,3,10,9,55687
0034578219A6,0,3,4,5,7,8,2,1,9,10,6,55692
00526378419A,0,5,2,6,3,7,8,4,1,9,10,55720
00456378291A,0,4,5,6,3,7,8,2,9,1,10,55722
00423678591A,0,4,2,3,6,7,8,5,9,1,10,55725
0052673489A1,0,5,2,6,7,3,4,8,9,10,1,55726
0035467829A1,0,3,5,4,6,7,8,2,9,10,1,55727
00546317892A,0,5,4,6,3,1,7,8,9,2,10,55727
00546378219A,0,5,4,6,3,7,8,2,1,9,10,55729
0056427839A1,0,5,6,4,2,7,8,3,9,10,1,55730
0032675819A4,0,3,2,6,7,5,8,1,9,10,4,55732
00536147892A,0,5,3,6,1,4,7,8,9,2,10,55755
00456327189A,0,4,5,6,3,2,7,1,8,9,10,55757
00254673981A,0,2,5,4,6,7,3,9,8,1,10,55759
00536127894A,0,5,3,6,1,2,7,8,9,4,10,55763
0023564187A9,0,2,3,5,6,4,1,8,7,10,9,55765
00326475981A,0,3,2,6,4,7,5,9,8,1,10,55765
0042657189A3,0,4,2,6,5,7,1,8,9,10,3,55771
0053612489A7,0,5,3,6,1,2,4,8,9,10,7,55787
00532471698A,0,5,3,2,4,7,1,6,9,8,10,55809
00452378691A,0,4,5,2,3,7,8,6,9,1,10,55813
00254617893A,0,2,5,4,6,1,7,8,9,3,10,55814
00342675981A,0,3,4,2,6,7,5,9,8,1,10,55816
0053674829A1,0,5,3,6,7,4,8,2,9,10,1,55817
0052467893A1,0,5,2,4,6,7,8,9,3,10,1,55818
00453716829A,0,4,5,3,7,1,6,8,2,9,10,55820
00435217869A,0,4,3,5,2,1,7,8,6,9,10,55822
0035467291A8,0,3,5,4,6,7,2,9,1,10,8,55823
0045368792A1,0,4,5,3,6,8,7,9,2,10,1,55825
0045263897A1,0,4,5,2,6,3,8,9,7,10,1,55832
00526738491A,0,5,2,6,7,3,8,4,9,1,10,55833
00542376891A,0,5,4,2,3,7,6,8,9,1,10,55836
00436752918A,0,4,3,6,7,5,2,9,1,8,10,55843
00436758291A,0,4,3,6,7,5,8,2,9,1,10,55846
00453628719A,0,4,5,3,6,2,8,7,1,9,10,55849
0014632785A9,0,1,4,6,3,2,7,8,5,10,9,55853
00245678391A,0,2,4,5,6,7,8,3,9,1,10,55853
0035462871A9,0,3,5,4,6,2,8,7,1,10,9,55855
0053462189A7,0,5,3,4,6,2,1,8,9,10,7,55875
00354172896A,0,3,5,4,1,7,2,8,9,6,10,55900
00254378961A,0,2,5,4,3,7,8,9,6,1,10,55903
00413265897A,0,4,1,3,2,6,5,8,9,7,10,55905
0025364897A1,0,2,5,3,6,4,8,9,7,10,1,55907
00346725981A,0,3,4,6,7,2,5,9,8,1,10,55907
0023564789A1,0,2,3,5,6,4,7,8,9,10,1,55910
0045632897A1,0,4,5,6,3,2,8,9,7,10,1,55911
00426573981A,0,4,2,6,5,7,3,9,8,1,10,55925
00315267498A,0,3,1,5,2,6,7,4,9,8,10,55928
00532674918A,0,5,3,2,6,7,4,9,1,8,10,55929
00436571289A,0,4,3,6,5,7,1,2,8,9,10,55935
00346572918A,0,3,4,6,5,7,2,9,1,8,10,55940
0053674281A9,0,5,3,6,7,4,2,8,1,10,9,55965
0043571869A2,0,4,3,5,7,1,8,6,9,10,2,55985
00465378291A,0,4,6,5,3,7,8,2,9,1,10,55990
00435621897A,0,4,3,5,6,2,1,8,9,7,10,55993
00124675893A,0,1,2,4,6,7,5,8,9,3,10,55995
0043657289A1,0,4,3,6,5,7,2,8,9,10,1,55998
0043578629A1,0,4,3,5,7,8,6,2,9,10,1,56000
0021547639A8,0,2,1,5,4,7,6,3,9,10,8,56003
00456378921A,0,4,5,6,3,7,8,9,2,1,10,56016
00342657918A,0,3,4,2,6,5,7,9,1,8,10,56018
00452167389A,0,4,5,2,1,6,7,3,8,9,10,56021
00345712896A,0,3,4,5,7,1,2,8,9,6,10,56023
00354678912A,0,3,5,4,6,7,8,9,1,2,10,56027
0025467189A3,0,2,5,4,6,7,1,8,9,10,3,56029
0052467189A3,0,5,2,4,6,7,1,8,9,10,3,56039
0041563789A2,0,4,1,5,6,3,7,8,9,10,2,56076
00453167892A,0,4,5,3,1,6,7,8,9,2,10,56080
00436521897A,0,4,3,6,5,2,1,8,9,7,10,56083
0015637289A4,0,1,5,6,3,7,2,8,9,10,4,56084
0045267839A1,0,4,5,2,6,7,8,3,9,10,1,56087
0045237869A1,0,4,5,2,3,7,8,6,9,10,1,56087
0045327698A1,0,4,5,3,2,7,6,9,8,10,1,56090
0043267859A1,0,4,3,2,6,7,8,5,9,10,1,56093
0032476589A1,0,3,2,4,7,6,5,8,9,10,1,56093
0032614759A8,0,3,2,6,1,4,7,5,9,10,8,56094
00354728691A,0,3,5,4,7,2,8,6,9,1,10,56107
