ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
00435716829A,0,4,3,5,7,1,6,8,2,9,10,51670
00354628917A,0,3,5,4,6,2,8,9,1,7,10,51672
00526713849A,0,5,2,6,7,1,3,8,4,9,10,51675
005264379A81,0,5,2,6,4,3,7,9,10,8,1,51677
0045627839A1,0,4,5,6,2,7,8,3,9,10,1,51678
0042563789A1,0,4,2,5,6,3,7,8,9,10,1,51687
00524376981A,0,5,2,4,3,7,6,9,8,1,10,51694
00546738291A,0,5,4,6,7,3,8,2,9,1,10,51698
00423617598A,0,4,2,3,6,1,7,5,9,8,10,51700
00436572891A,0,4,3,6,5,7,2,8,9,1,10,51710
0025617843A9,0,2,5,6,1,7,8,4,3,10,9,51711
0054672819A3,0,5,4,6,7,2,8,1,9,10,3,51730
00326574819A,0,3,2,6,5,7,4,8,1,9,10,51759
00523478961A,0,5,2,3,4,7,8,9,6,1,10,51763
00543678921A,0,5,4,3,6,7,8,9,2,1,10,51765
0045267893A1,0,4,5,2,6,7,8,9,3,10,1,51767
00516248739A,0,5,1,6,2,4,8,7,3,9,10,51767
0042536879A1,0,4,2,5,3,6,8,7,9,10,1,51768
0035674829A1,0,3,5,6,7,4,8,2,9,10,1,51770
00451632897A,0,4,5,1,6,3,2,8,9,7,10,51785
00543678921A,0,5,4,3,6,7,8,9,2,1,10,51795
00546328179A,0,5,4,6,3,2,8,1,7,9,10,51801
00453278916A,0,4,5,3,2,7,8,9,1,6,10,51802
0035647821A9,0,3,5,6,4,7,8,2,1,10,9,51805
0045326189A7,0,4,5,3,2,6,1,8,9,10,7,51826
00453786219A,0,4,5,3,7,8,6,2,1,9,10,51851
00514632897A,0,5,1,4,6,3,2,8,9,7,10,51852
00451362789A,0,4,5,1,3,6,2,7,8,9,10,51855
0053427689A1,0,5,3,4,2,7,6,8,9,10,1,51857
0054367892A1,0,5,4,3,6,7,8,9,2,10,1,51858
00526134897A,0,5,2,6,1,3,4,8,9,7,10,51858
0045632791A8,0,4,5,6,3,2,7,9,1,10,8,51860
0046327589A1,0,4,6,3,2,7,5,8,9,10,1,51865
00456318729A,0,4,5,6,3,1,8,7,2,9,10,51874
00325648791A,0,3,2,5,6,4,8,7,9,1,10,51881
00463578291A,0,4,6,3,5,7,8,2,9,1,10,51883
00536417892A,0,5,3,6,4,1,7,8,9,2,10,51885
0035417682A9,0,3,5,4,1,7,6,8,2,10,9,51892
0023641785A9,0,2,3,6,4,1,7,8,5,10,9,51894
0045367218A9,0,4,5,3,6,7,2,1,8,10,9,51898
0023576481A9,0,2,3,5,7,6,4,8,1,10,9,51916
00546273819A,0,5,4,6,2,7,3,8,1,9,10,51940
00532648719A,0,5,3,2,6,4,8,7,1,9,10,51942
00146275893A,0,1,4,6,2,7,5,8,9,3,10,51945
0054362789A1,0,5,4,3,6,2,7,8,9,10,1,51947
00436571289A,0,4,3,6,5,7,1,2,8,9,10,51948
00453168729A,0,4,5,3,1,6,8,7,2,9,10,51950
0014653879A2,0,1,4,6,5,3,8,7,9,10,2,51953
00436571892A,0,4,3,6,5,7,1,8,9,2,10,51953
0043576289A1,0,4,3,5,7,6,2,8,9,10,1,51954
0035461729A8,0,3,5,4,6,1,7,2,9,10,8,51958
00543768192A,0,5,4,3,7,6,8,1,9,2,10,51967
00356148792A,0,3,5,6,1,4,8,7,9,2,10,51970
00125673894A,0,1,2,5,6,7,3,8,9,4,10,51972
00245736198A,0,2,4,5,7,3,6,1,9,8,10,51974
00426578931A,0,4,2,6,5,7,8,9,3,1,10,51981
00542638971A,0,5,4,2,6,3,8,9,7,1,10,51983
0043165782A9,0,4,3,1,6,5,7,8,2,10,9,52003
0054136289A7,0,5,4,1,3,6,2,8,9,10,7,52006
00536428791A,0,5,3,6,4,2,8,7,9,1,10,52031
00534672819A,0,5,3,4,6,7,2,8,1,9,10,52033
00356472189A,0,3,5,6,4,7,2,1,8,9,10,52035
0035467829A1,0,3,5,4,6,7,8,2,9,10,1,52037
0025643879A1,0,2,5,6,4,3,8,7,9,10,1,52037
00532674819A,0,5,3,2,6,7,4,8,1,9,10,52037
0045623789A1,0,4,5,6,2,3,7,8,9,10,1,52040
00243568179A,0,2,4,3,5,6,8,1,7,9,10,52041
00234165897A,0,2,3,4,1,6,5,8,9,7,10,52043
0053276849A1,0,5,3,2,7,6,8,4,9,10,1,52044
00356471298A,0,3,5,6,4,7,1,2,9,8,10,52053
00246751398A,0,2,4,6,7,5,1,3,9,8,10,52055
00526438791A,0,5,2,6,4,3,8,7,9,1,10,52059
00453762918A,0,4,5,3,7,6,2,9,1,8,10,52063
00354726981A,0,3,5,4,7,2,6,9,8,1,10,52074
00356721489A,0,3,5,6,7,2,1,4,8,9,10,52076
0012356789A4,0,1,2,3,5,6,7,8,9,10,4,52097
00254716893A,0,2,5,4,7,1,6,8,9,3,10,52119
0031567849A2,0,3,1,5,6,7,8,4,9,10,2,52121
00346578291A,0,3,4,6,5,7,8,2,9,1,10,52123
00346275819A,0,3,4,6,2,7,5,8,1,9,10,52125
0045628739A1,0,4,5,6,2,8,7,3,9,10,1,52126
00426578139A,0,4,2,6,5,7,8,1,3,9,10,52128
0045273896A1,0,4,5,2,7,3,8,9,6,10,1,52129
0034675829A1,0,3,4,6,7,5,8,2,9,10,1,52134
00543678219A,0,5,4,3,6,7,8,2,1,9,10,52149
00543278196A,0,5,4,3,2,7,8,1,9,6,10,52151
00536471892A,0,5,3,6,4,7,1,8,9,2,10,52153
00256734918A,0,2,5,6,7,3,4,9,1,8,10,52154
0014256798A3,0,1,4,2,5,6,7,9,8,10,3,52161
00256417839A,0,2,5,6,4,1,7,8,3,9,10,52161
0043527618A9,0,4,3,5,2,7,6,1,8,10,9,52162
0043561789A2,0,4,3,5,6,1,7,8,9,10,2,52188
00463758291A,0,4,6,3,7,5,8,2,9,1,10,52211
00356427981A,0,3,5,6,4,2,7,9,8,1,10,52213
00435762819A,0,4,3,5,7,6,2,8,1,9,10,52215
0054276839A1,0,5,4,2,7,6,8,3,9,10,1,52217
00436572918A,0,4,3,6,5,7,2,9,1,8,10,52218
00435726819A,0,4,3,5,7,2,6,8,1,9,10,52220
0035247698A1,0,3,5,2,4,7,6,9,8,10,1,52221
00453276819A,0,4,5,3,2,7,6,8,1,9,10,52223
00423758169A,0,4,2,3,7,5,8,1,6,9,10,52233
00436157892A,0,4,3,6,1,5,7,8,9,2,10,52236
00453276891A,0,4,5,3,2,7,6,8,9,1,10,52239
00453672891A,0,4,5,3,6,7,2,8,9,1,10,52242
0042635718A9,0,4,2,6,3,5,7,1,8,10,9,52269
00543172698A,0,5,4,3,1,7,2,6,9,8,10,52300
00346758291A,0,3,4,6,7,5,8,2,9,1,10,52302
00345672891A,0,3,4,5,6,7,2,8,9,1,10,52305
0053627489A1,0,5,3,6,2,7,4,8,9,10,1,52307
00436257891A,0,4,3,6,2,5,7,8,9,1,10,52308
0045627389A1,0,4,5,6,2,7,3,8,9,10,1,52309
00546378129A,0,5,4,6,3,7,8,1,2,9,10,52311
00546378912A,0,5,4,6,3,7,8,9,1,2,10,52313
00452673891A,0,4,5,2,6,7,3,8,9,1,10,52324
00524678931A,0,5,2,4,6,7,8,9,3,1,10,52341
0045612783A9,0,4,5,6,1,2,7,8,3,10,9,52348
0045312786A9,0,4,5,3,1,2,7,8,6,10,9,52358
0041537689A2,0,4,1,5,3,7,6,8,9,10,2,52370
0056437891A2,0,5,6,4,3,7,8,9,1,10,2,52387
00253647891A,0,2,5,3,6,4,7,8,9,1,10,52391
00152467839A,0,1,5,2,4,6,7,8,3,9,10,52392
00452768931A,0,4,5,2,7,6,8,9,3,1,10,52396
0035674298A1,0,3,5,6,7,4,2,9,8,10,1,52397
00564172893A,0,5,6,4,1,7,2,8,9,3,10,52398
0023657498A1,0,2,3,6,5,7,4,9,8,10,1,52400
00426517893A,0,4,2,6,5,1,7,8,9,3,10,52400
0015367429A8,0,1,5,3,6,7,4,2,9,10,8,52401
0053462879A1,0,5,3,4,6,2,8,7,9,10,1,52406
003456287A91,0,3,4,5,6,2,8,7,10,9,1,52406
00546371298A,0,5,4,6,3,7,1,2,9,8,10,52422
00425673819A,0,4,2,5,6,7,3,8,1,9,10,52424
00356742189A,0,3,5,6,7,4,2,1,8,9,10,52427
00352674891A,0,3,5,2,6,7,4,8,9,1,10,52429
0053624817A9,0,5,3,6,2,4,8,1,7,10,9,52432
00436571982A,0,4,3,6,5,7,1,9,8,2,10,52432
0042167583A9,0,4,2,1,6,7,5,8,3,10,9,52435
0035476189A2,0,3,5,4,7,6,1,8,9,10,2,52449
0043526189A7,0,4,3,5,2,6,1,8,9,10,7,52465
00216347895A,0,2,1,6,3,4,7,8,9,5,10,52480
00145368729A,0,1,4,5,3,6,8,7,2,9,10,52483
00135468792A,0,1,3,5,4,6,8,7,9,2,10,52487
0036527498A1,0,3,6,5,2,7,4,9,8,10,1,52487
0035467289A1,0,3,5,4,6,7,2,8,9,10,1,52488
00145326897A,0,1,4,5,3,2,6,8,9,7,10,52489
0054276398A1,0,5,4,2,7,6,3,9,8,10,1,52490
0035627498A1,0,3,5,6,2,7,4,9,8,10,1,52494
0045632789A1,0,4,5,6,3,2,7,8,9,10,1,52498
0043267859A1,0,4,3,2,6,7,8,5,9,10,1,52500
00346571892A,0,3,4,6,5,7,1,8,9,2,10,52509
00246738591A,0,2,4,6,7,3,8,5,9,1,10,52510
00451378692A,0,4,5,1,3,7,8,6,9,2,10,52513
00342678591A,0,3,4,2,6,7,8,5,9,1,10,52515
0025647831A9,0,2,5,6,4,7,8,3,1,10,9,52523
0034652817A9,0,3,4,6,5,2,8,1,7,10,9,52527
00341625879A,0,3,4,1,6,2,5,8,7,9,10,52570
00423651897A,0,4,2,3,6,5,1,8,9,7,10,52572
0045236798A1,0,4,5,2,3,6,7,9,8,10,1,52578
0043267598A1,0,4,3,2,6,7,5,9,8,10,1,52578
0046237589A1,0,4,6,2,3,7,5,8,9,10,1,52586
00563428791A,0,5,6,3,4,2,8,7,9,1,10,52593
00256471398A,0,2,5,6,4,7,1,3,9,8,10,52600
0025643871A9,0,2,5,6,4,3,8,7,1,10,9,52611
0025437861A9,0,2,5,4,3,7,8,6,1,10,9,52616
0025436871A9,0,2,5,4,3,6,8,7,1,10,9,52638
0045631798A2,0,4,5,6,3,1,7,9,8,10,2,52644
00346518279A,0,3,4,6,5,1,8,2,7,9,10,52660
00435768129A,0,4,3,5,7,6,8,1,2,9,10,52662
00546371298A,0,5,4,6,3,7,1,2,9,8,10,52665
0035476829A1,0,3,5,4,7,6,8,2,9,10,1,52667
0032567849A1,0,3,2,5,6,7,8,4,9,10,1,52668
00345678291A,0,3,4,5,6,7,8,2,9,1,10,52670
00456738129A,0,4,5,6,7,3,8,1,2,9,10,52671
0043267589A1,0,4,3,2,6,7,5,8,9,10,1,52673
00534617829A,0,5,3,4,6,1,7,8,2,9,10,52673
00463157289A,0,4,6,3,1,5,7,2,8,9,10,52676
00453628791A,0,4,5,3,6,2,8,7,9,1,10,52681
00423568179A,0,4,2,3,5,6,8,1,7,9,10,52682
00326748591A,0,3,2,6,7,4,8,5,9,1,10,52684
00356241897A,0,3,5,6,2,4,1,8,9,7,10,52687
00341567892A,0,3,4,1,5,6,7,8,9,2,10,52691
00534672891A,0,5,3,4,6,7,2,8,9,1,10,52693
00356412879A,0,3,5,6,4,1,2,8,7,9,10,52696
00354628971A,0,3,5,4,6,2,8,9,7,1,10,52699
0043627581A9,0,4,3,6,2,7,5,8,1,10,9,52702
00246573198A,0,2,4,6,5,7,3,1,9,8,10,52702
0052367184A9,0,5,2,3,6,7,1,8,4,10,9,52705
0045637821A9,0,4,5,6,3,7,8,2,1,10,9,52707
0045361728A9,0,4,5,3,6,1,7,2,8,10,9,52710
00235641879A,0,2,3,5,6,4,1,8,7,9,10,52750
00435768219A,0,4,3,5,7,6,8,2,1,9,10,52753
00532476891A,0,5,3,2,4,7,6,8,9,1,10,52755
00236517894A,0,2,3,6,5,1,7,8,9,4,10,52757
0042537896A1,0,4,2,5,3,7,8,9,6,10,1,52758
0051236749A8,0,5,1,2,3,6,7,4,9,10,8,52767
00254738691A,0,2,5,4,7,3,8,6,9,1,10,52776
00456738129A,0,4,5,6,7,3,8,1,2,9,10,52787
00456327189A,0,4,5,6,3,2,7,1,8,9,10,52790
0025647831A9,0,2,5,6,4,7,8,3,1,10,9,52792
00451638729A,0,4,5,1,6,3,8,7,2,9,10,52792
00356478129A,0,3,5,6,4,7,8,1,2,9,10,52794
0046517289A3,0,4,6,5,1,7,2,8,9,10,3,52798
0032467851A9,0,3,2,4,6,7,8,5,1,10,9,52818
00524376891A,0,5,2,4,3,7,6,8,9,1,10,52840
00425736819A,0,4,2,5,7,3,6,8,1,9,10,52844
00253618794A,0,2,5,3,6,1,8,7,9,4,10,52845
0054627398A1,0,5,4,6,2,7,3,9,8,10,1,52847
00432678519A,0,4,3,2,6,7,8,5,1,9,10,52848
00542368791A,0,5,4,2,3,6,8,7,9,1,10,52851
00354762918A,0,3,5,4,7,6,2,9,1,8,10,52869
00426358971A,0,4,2,6,3,5,8,9,7,1,10,52877
00436572891A,0,4,3,6,5,7,2,8,9,1,10,52880
00256748139A,0,2,5,6,7,4,8,1,3,9,10,52881
00326571894A,0,3,2,6,5,7,1,8,9,4,10,52884
00425176893A,0,4,2,5,1,7,6,8,9,3,10,52886
00342617895A,0,3,4,2,6,1,7,8,9,5,10,52930
00254768319A,0,2,5,4,7,6,8,3,1,9,10,52933
00215473896A,0,2,1,5,4,7,3,8,9,6,10,52935
0053674829A1,0,5,3,6,7,4,8,2,9,10,1,52937
0043267598A1,0,4,3,2,6,7,5,9,8,10,1,52937
00532674819A,0,5,3,2,6,7,4,8,1,9,10,52937
